Time,Var2,Var3,Var4,Var5,Var6,Var7,LABEL
0.37415,17364.80578,-246.1078192,-17164.17222,19.64007188,8.529172244,-2.163233987,0
0.3742,17177.49777,129.8477108,-17352.61617,19.51940498,8.763949888,-2.284560643,0
0.37425,16984.34657,505.4325547,-17535.21948,19.39488308,8.998695953,-2.401999491,0
0.3743,16784.81267,881.132628,-17711.29788,19.26655779,9.233327786,-2.515508017,0
0.37435,16579.72273,1256.242186,-17881.36107,19.13446648,9.467758599,-2.625049394,0
0.3744,16368.26228,1631.137018,-18044.83949,18.99866187,9.701907435,-2.730582164,0
0.37445,16151.50615,2005.251305,-18202.10773,18.85918586,9.935686236,-2.832073637,0
0.3745,15928.44123,2378.798085,-18352.76385,18.71609163,10.16901531,-2.929484081,0
0.37455,15700.30303,2751.392086,-18497.00694,18.56942603,10.40180613,-3.022784384,0
0.3746,15465.97635,3123.056785,-18634.6298,18.41924222,10.63397972,-3.111937329,0
0.37465,15226.7533,3493.600649,-18765.64311,18.26559232,10.86544793,-3.196916787,0
0.3747,14981.52542,3862.858851,-18890.0334,18.10852917,11.096132,-3.277688853,0
0.37475,14731.52994,4230.819083,-19007.63769,17.94811018,11.32594498,-3.354229778,0
0.3748,14475.77618,4597.155824,-19118.6089,17.7843878,11.5548078,-3.426509652,0
0.37485,14215.3381,4961.997383,-19222.64924,17.61742448,11.78263544,-3.494506623,0
0.3749,13949.44523,5324.906148,-19320.02966,17.44727252,12.00934824,-3.558195261,0
0.37495,13678.91402,5686.095263,-19410.37359,17.2739988,12.23486351,-3.61755527,0
0.375,13403.27718,6045.076393,-19494.00885,17.09765595,12.4591009,-3.672565922,0
0.37505,13123.02377,6402.083771,-19570.54405,16.91831446,12.68198031,-3.723208383,0
0.3751,12838.04381,6756.64264,-19640.29985,16.736028,12.90342079,-3.769466571,0
0.37515,12548.4618,7108.946701,-19702.93184,16.55086966,13.12334473,-3.811323239,0
0.3752,12254.54349,7458.592046,-19758.69647,16.36289497,13.341671,-3.848766652,0
0.37525,11956.04932,7805.681799,-19807.3466,16.17217856,13.55832416,-3.881781523,0
0.3753,11653.60048,8149.924574,-19849.03297,15.97877871,13.77322342,-3.910359992,0
0.37535,11346.63261,8491.301808,-19883.63702,15.78277055,13.9862951,-3.934489257,0
0.3754,11036.06442,8829.654833,-19911.18384,15.58421596,14.19745939,-3.954164767,0
0.37545,10721.08128,9164.835401,-19931.69161,15.38318967,14.40664384,-3.969376848,0
0.3755,10402.80963,9496.813965,-19945.06354,15.17975783,14.61377035,-3.980123702,0
0.37555,10080.28662,9825.328094,-19951.43929,14.97399412,14.81876723,-3.986399396,0
0.3756,9754.734327,10150.4515,-19950.62622,14.76596937,15.0215587,-3.988204419,0
0.37565,9425.159972,10471.84319,-19942.85,14.55575587,15.22207349,-3.985537099,0
0.3757,9092.759541,10789.63706,-19927.86539,14.34342919,15.42023861,-3.978399916,0
0.37575,8756.631339,11103.46282,-19905.93502,14.12906022,15.6159831,-3.966795763,0
0.3758,8417.82787,11413.46197,-19876.81378,13.91272895,15.80923703,-3.950729016,0
0.37585,8075.648154,11719.28914,-19840.74714,13.69450523,15.99992985,-3.930207215,0
0.3759,7730.901902,12021.04052,-19797.54322,13.47447276,16.18799471,-3.905236758,0
0.37595,7383.174213,12318.44571,-19747.38045,13.25270096,16.3733618,-3.875829628,0
0.376,7032.962427,12611.51115,-19690.16469,13.0292763,16.55596718,-3.841994532,0
0.37605,6680.188767,12900.07889,-19625.96999,12.80426855,16.73574224,-3.803747466,0
0.3761,6325.006459,13184.0373,-19554.8284,12.57776578,16.91262559,-3.761099855,0
0.37615,5967.685709,13463.35945,-19476.69115,12.34983904,17.0865504,-3.714071102,0
0.3762,5608.045181,13737.80821,-19391.72398,12.12057681,17.25745734,-3.662675827,0
0.37625,5246.67278,14007.48414,-19299.75894,11.89005226,17.42528201,-3.606936186,0
0.3763,4883.101871,14272.03961,-19201.08058,11.65835316,17.58996661,-3.546870467,0
0.37635,4518.17073,14531.67729,-19095.42723,11.42555555,17.75144978,-3.482502972,0
0.3764,4151.20991,14785.97438,-18983.16701,11.19174563,17.90967484,-3.413856057,0
0.37645,3783.212339,15035.19227,-18863.98803,10.95700276,18.06458396,-3.340955731,0
0.3765,3413.410939,15278.88334,-18738.29168,10.72141099,18.21612136,-3.263828689,0
0.37655,3042.84126,15517.31281,-18605.77082,10.48505319,18.364233,-3.182502401,0
0.3766,2670.753196,15750.06608,-18466.8024,10.24801103,18.50886399,-3.097007974,0
0.37665,2298.110628,15977.35424,-18321.142,10.01037069,18.64996418,-3.007374356,0
0.3767,1924.290078,16198.85193,-18169.08595,9.772211662,18.78747983,-2.913636923,0
0.37675,1550.081439,16414.66434,-18010.50443,9.533622868,18.92136448,-2.815826337,0
0.3768,1175.078888,16624.60107,-17845.56743,9.2946821,19.05156598,-2.713981878,0
0.37685,799.820694,16828.62409,-17674.29707,9.055480207,19.17804124,-2.608136362,0
0.3769,424.179781,17026.7057,-17496.70934,8.816094013,19.30074031,-2.498332429,0
0.37695,48.39937513,17218.64826,-17312.9947,8.576615234,19.41962296,-2.384605589,0
0.377,-327.3451847,17404.59131,-17123.01059,8.337120601,19.53464214,-2.267001177,0
0.37705,-703.1097025,17584.18573,-16927.10768,8.097701553,19.64575991,-2.145557981,0
0.3771,-1078.43292,17757.71795,-16725.00526,7.858435603,19.75293281,-2.020323336,0
0.37715,-1453.634074,17924.71985,-16517.18168,7.619412812,19.85612467,-1.891339816,0
0.3772,-1828.020194,18085.58142,-16303.26137,7.38071224,19.95529617,-1.758656124,0
0.37725,-2202.103748,18239.76869,-16083.79727,7.142421636,20.05041248,-1.622318993,0
0.3773,-2575.044611,18387.71442,-15858.37971,6.904622134,20.14143887,-1.482378031,0
0.37735,-2947.453203,18528.88541,-15627.56949,6.667398536,20.22834162,-1.338884276,0
0.3774,-3318.445737,18663.68741,-15390.99263,6.430834268,20.31109069,-1.191888021,0
0.37745,-3688.62316,18791.65868,-15149.14708,6.195010898,20.38965355,-1.04144451,0
0.3775,-4057.166448,18913.10935,-14901.76313,5.960014,20.46400475,-0.887604781,0
0.37755,-4424.562125,19027.71329,-14649.21165,5.725922028,20.53411321,-0.730427927,0
0.3776,-4790.154507,19135.62813,-14391.38398,5.492822206,20.59995773,-0.569966063,0
0.37765,-5154.227641,19236.71087,-14128.47642,5.260790335,20.66150922,-0.406281558,0
0.3777,-5516.364383,19330.9308,-13860.57712,5.029914483,20.71875015,-0.239428164,0
0.37775,-5876.587324,19418.35079,-13587.68492,4.800268551,20.77165418,-0.069470778,0
0.3778,-6234.759264,19498.74352,-13310.09306,4.571940435,20.82020669,0.103534516,0
0.37785,-6590.619699,19572.37112,-13027.60941,4.345003037,20.86438492,0.279521104,0
0.3779,-6944.313202,19638.83143,-12740.71041,4.119542956,20.9041765,0.45842986,0
0.37795,-7295.314956,19698.54958,-12449.04917,3.895633025,20.93956294,0.640193243,0
0.378,-7644.013282,19750.99841,-12153.23535,3.673357476,20.97053349,0.824748489,0
0.37805,-7989.67569,19796.70437,-11852.82888,3.452789857,20.99707458,1.012027775,0
0.3781,-8332.861713,19835.08686,-11548.50096,3.234011138,21.0191766,1.201964331,0
0.37815,-8672.717764,19866.69488,-11239.79698,3.017096126,21.03683124,1.394490476,0
0.3782,-9009.877736,19890.9776,-10927.36631,2.802121943,21.05002987,1.589535374,0
0.37825,-9343.471324,19908.42208,-10610.82421,2.589164841,21.05876943,1.787031611,0
0.3783,-9674.099281,19918.58992,-10290.71541,2.378297855,21.06304243,1.986904558,0
0.37835,-10000.98208,19921.82865,-9966.802411,2.169598486,21.06285074,2.189086888,0
0.3784,-10324.58432,19917.88178,-9639.455731,1.96313583,21.05818847,2.39350076,0
0.37845,-10644.31282,19906.89882,-9308.643471,1.758988045,21.04906185,2.60007846,0
0.3785,-10960.41196,19888.85032,-8974.516587,1.557220764,21.0354673,2.808739775,0
0.37855,-11272.54518,19863.65792,-8637.278497,1.357911923,21.0174146,3.019415918,0
0.3786,-11580.68322,19831.53237,-8296.847264,1.161124438,20.99490337,3.232025284,0
0.37865,-11884.78148,19792.17177,-7953.65711,0.966934935,20.9679461,3.446497227,0
0.3787,-12184.52168,19746.00507,-7607.41504,0.775404487,20.93654651,3.662749747,0
0.37875,-12480.14678,19692.54595,-7258.746754,0.586607292,20.9007189,3.880709585,0
0.3788,-12771.07403,19632.38639,-6907.203174,0.400603474,20.86047191,4.10029523,0
0.37885,-13057.79073,19564.92502,-6553.531945,0.217463751,20.815821,4.321430225,0
0.3789,-13339.5106,19490.83554,-6197.208974,0.037248051,20.76678027,4.544034201,0
0.37895,-13616.88938,19409.49184,-5839.013345,-0.139977193,20.7133659,4.768027189,0
0.379,-13889.02602,19321.55309,-5478.442005,-0.314151739,20.65559766,4.993330307,0
0.37905,-14156.64675,19226.46706,-5116.206607,-0.485213951,20.59349241,5.219860113,0
0.3791,-14418.84008,19124.78081,-4751.92252,-0.653103103,20.52707542,5.447539202,0
0.37915,-14676.29615,19016.10877,-4386.140942,-0.817762485,20.45636446,5.676281068,0
0.3792,-14928.19874,18900.80121,-4018.680113,-0.979131066,20.38138981,5.906009431,0
0.37925,-15175.10117,18778.71237,-3649.857411,-1.137156854,20.30217072,6.136635473,0
0.3793,-15416.3754,18649.9368,-3279.752601,-1.291779052,20.21874167,6.368083394,0
0.37935,-15652.35646,18514.61056,-2908.406983,-1.442949838,20.13112421,6.600263076,0
0.3794,-15882.67235,18372.54904,-2536.185092,-1.590609455,20.03935599,6.833098356,0
0.37945,-16107.38825,18224.17356,-2162.848414,-1.734713501,19.94346184,7.06649897,0
0.3795,-16326.42228,18069.03717,-1789.029168,-1.875204256,19.84348148,7.300387484,0
0.37955,-16539.55468,17907.80922,-1414.246037,-2.012039846,19.73944401,7.534674634,0
0.3796,-16746.98993,17739.83696,-1039.342098,-2.145165622,19.6313902,7.769280868,0
0.37965,-16948.24608,17565.96316,-663.6675713,-2.274541389,19.51935422,8.004118921,0
0.3797,-17143.77358,17385.41944,-288.1859881,-2.400116531,19.40337713,8.23910649,0
0.37975,-17332.88527,17199.11875,87.81798736,-2.521851805,19.28349876,8.474159027,0
0.3798,-17516.20649,17006.2897,463.3732174,-2.639701389,19.15975993,8.709191164,0
0.37985,-17692.92786,16807.79684,839.1422742,-2.753626526,19.03220634,8.944121419,0
0.3799,-17863.75808,16602.98597,1214.26696,-2.863586633,18.90087854,9.178861442,0
0.37995,-18027.86276,16392.55512,1589.239229,-2.969543245,18.7658278,9.413332728,0
0.38,-18185.93483,16176.07875,1963.425555,-3.071461089,18.62709473,9.647444439,0
0.38005,-18337.21282,15953.98725,2337.046478,-3.169302159,18.48473551,9.881120559,0
0.3801,-18482.28094,15726.17029,2709.779971,-3.263036233,18.33879151,10.11426865,0
0.38015,-18620.53568,15492.7216,3081.506446,-3.35262623,18.18932281,10.34681434,0
0.3802,-18752.3786,15253.89424,3452.263869,-3.438046399,18.0363725,10.57866479,0
0.38025,-18877.42482,15009.4197,3821.567231,-3.519261324,17.88000329,10.8097462,0
0.3803,-18995.84814,14759.91547,4189.815851,-3.596248945,17.72026118,11.03996668,0
0.38035,-19107.51071,14504.77452,4556.183305,-3.668976397,17.55721013,11.26925184,0
0.3804,-19212.34792,14244.92997,4921.381814,-3.737424449,17.39090019,11.49751214,0
0.38045,-19310.46201,13979.50859,5284.316153,-3.801563729,17.2213953,11.72467154,0
0.3805,-19401.57417,13709.6647,5645.917298,-3.861377044,17.0487506,11.95064405,0
0.38055,-19485.98669,13434.37226,6004.934962,-3.916839343,16.873029,12.17535118,0
0.3806,-19563.26082,13154.87729,6362.389709,-3.96793486,16.69429136,12.39871136,0
0.38065,-19633.83304,12870.14194,6717.017473,-4.01464349,16.512599,12.62064328,0
