Time,Var2,Var3,Var4,Var5,Var6,Var7
0.35155,-1488.9405284495,-16788.636553592,18277.5770820422,-0.907066855246941,-10.2282267581964,11.1352936134669
0.3516,-1107.07998162582,-17000.7561504481,18107.8361320747,-0.674431679794188,-10.3574562854249,11.0318879652426
0.35165,-724.826090078402,-17206.8353881189,17931.6614781981,-0.441556317316699,-10.4830051732431,10.9245614905833
0.3517,-342.314681910003,-17406.8010367137,17749.1157186245,-0.208523697703693,-10.6048285377217,10.8133522354489
0.35175,40.3183230381408,-17600.5820452959,17560.2637222585,0.024583370204709,-10.7228828520463,10.6982994818651
0.3518,422.9369634524,-17788.1095689219,17365.1726054703,0.257681798918466,-10.8371259579178,10.5794441590228
0.35185,805.405285821275,-17969.3169920303,17163.9117062098,0.490688699751784,-10.9475171220305,10.4568284223022
0.3519,1187.58739368859,-18144.1399508452,16956.5525571574,0.723520992465209,-11.0540170466855,10.3304960542438
0.35195,1569.34749550261,-18312.5163527413,16743.1688572394,0.956095873474046,-11.1565878914586,10.200492018008
0.352,1950.54995391236,-18474.3863983016,16523.83644439,1.18833043813132,-11.2551932966175,10.0668628585096
0.35205,2331.05933393241,-18629.692600671,16298.6332667394,1.42014213926141,-11.3497983754335,9.92965623619554
0.3521,2710.74045074512,-18778.3798038825,16067.6393531381,1.65144841125868,-11.4403697344035,9.78892132316821
0.35215,3089.45841587043,-18920.3951985525,15830.9367826828,1.88216711040734,-11.5268754321376,9.64470832175364
0.3522,3467.07868483119,-19055.688340589,15588.6096557586,2.11221614406666,-11.609285013458,9.49706886941474
0.35225,3843.46710370926,-19184.2111679327,15340.7440642241,2.34151389442709,-11.6875694474222,9.34605555301843
0.3523,4218.48995639104,-19305.9180182282,15087.4280618379,2.56997885270062,-11.7617011801246,9.19172232744728
0.35235,4592.01401063584,-19420.7656445151,14828.75163388,2.79753002700981,-11.8316540592056,9.03412403221913
0.3524,4963.90656557763,-19528.7132329115,14564.8066673346,3.02408658591834,-11.8974034145233,8.87331682862821
0.35245,5334.03549801283,-19629.7224178094,14295.6869197973,3.24956825321538,-11.9589259742274,8.70935772103519
0.3525,5702.26930954921,-19723.7572976476,14021.4879880991,3.47389496130964,-12.0161999709638,8.54230500967737
0.35255,6068.47717242295,-19810.7844479927,13742.3072755704,3.69698723315802,-12.0692050472588,8.37221781412398
